评论者网名,评价,评论,评论时间,评论地点,评论点赞数
淹死海星的凶手,还行,如果一个谋杀老婆的男人却为了无意谋杀了自己的孩子而流泪，这不是很讽刺吗,2023-06-22 13:04:14,江苏,28211
申报记者何书桓,较差,倪妮的角色是个T吧，《铁T复仇记》。,2023-06-20 00:08:16,北京,17443
ฅ  ฅ,推荐,其实我觉得男主最后看到b超照片崩溃不是因为看到了孩子的存在，杀了老婆眼都不眨一下的恶魔只会崩溃在明明可以轻松地就得到一切，结果现在命搭上了煮熟的鸭子还在不知情的情况下飞了所以他才崩溃，他怎么可能在意孩子的死活，只是他悔在这一切居然本就已经是他的但他却费尽心思策划了这一切还把自己搭进去了，说到底还是一个彻头彻尾的人渣,2023-06-22 21:13:50,吉林,21534
orangesavage,推荐,建议情人节档安排上，更适合情侣宝宝的好电影❤️,2023-06-21 20:42:27,广东,19532
树木夕凉,还行,故事看20分钟就能猜到，表演上，倪妮好似没什么信念感，朱一龙则是信念感过足了。导演对声光的滥用，不遗余力地暴露着自己的庸俗审美。吃女性题材红利也就罢了，最后还要蹭一下lgbt。只能说，csc搞女性关怀，很难不让人觉得可疑。,2023-06-15 20:45:02,北京,18004
放电蓝眼睛,推荐,集合了我喜欢的悬疑元素，唯一的败笔是最后那张纸。难道坏人会因为这个后悔么？一个既无视爱情，又不尊重女性的人，不会因为这个就心软的。,2023-06-19 15:37:20,北京,14595
是小马-_-,较差,陈思诚可能你拍的时候肯定想着我真太牛逼了编出来这故事，中国悬疑片就靠我振兴了。但是我要告诉你，中国悬疑片有你真是倒了八辈子血霉了。。。,2023-06-22 12:17:43,四川,16823
咕咕咕咕,较差,杀妻不会后悔 看到孩子了才会 陈思成别太恶心,2023-06-21 22:03:44,云南,9494
TalentososSr,还行,咱就是说 结尾你说他老婆帮他把钱还了都比这来个孩子强,2023-06-23 00:47:36,北京,16751
东门捷径小V,推荐,富婆不要随便跟男的去东南亚旅游，哪怕对方长得跟朱一龙似的都请冷静三思。另外，赌棍最后怎么可能是在哭孩子？只是哭自己沉不住气，把牌桌踹翻了才发现草其实早抓了一手赢面这么大的牌罢了，这是世上唯一能让他肠子悔青的事,2023-06-22 00:45:57,湖南,13474
不知道叫什么名,推荐,"给男人花钱倒霉一辈子....
何非到最后都没后悔杀了他老婆，结果b超照片一出来就痛哭流涕，拜托，没有孩子的女性的命也是命……",2023-06-22 03:47:20,广东,8821
一池春水,较差,"你们男导演再自以为是拍girls help girls我觉得可以埋了。
别再点开我主页，请专注自己的思想。",2023-06-24 00:50:07,河北,6251
🍑,还行,更适合中国宝宝体质的反婚反赌宣传片,2023-06-22 02:46:12,江苏,13528
朝暮雪,还行,"本片最大bug：李木子没有和她闺蜜结婚，而是和一个男的结了婚。
她闺蜜也是，她得知李木子要和别人结婚了，她还同意了？她难道不应该立马飞回去抢婚吗？",2023-06-21 21:09:16,四川,11018
雷三杯,很差,哈哈哈哈哈哈哈，中国普通大众真的很好糊弄😂,2023-06-20 08:26:02,北京,13371
无情羊咩头,推荐,最烦那种说“早猜到了好无聊啊啥啥啥的”，就那几个人不是他杀就是自杀啦，值得讨论的是人性的恶，而不是你那份愚蠢的傲慢,2023-06-21 23:29:37,山东,7719
豆友B6N6i7mufI,很差,不要期望值过高，朱一龙表演痕迹过重，用力过猛。,2023-06-20 14:46:01,福建,5148
colt45,还行,我求求，别在破案过程中出现“超能小队，集结！”的场面了可以吗,2023-06-24 01:54:50,湖北,7787
山微漾,还行,"陈思诚有一个优点，就是直男审美，能把镜头里的女演员拍得美艳至极，文咏珊在《消失的的她》中的形象，堪比张钧甯在剧版《唐人街探案》中的艳丽，尽管倪妮还差点意思。

唯一不太满意的一点，为啥拍来拍去，价值观又倒回到剧集《北京爱情故事》时的——穷生奸邪，富长良心，你看《寄生虫》咋拍的：「不是有钱且善良，而是因为有钱所以善良」，世道艰难，鞭子还是少抽真正弱势群体一些。",2023-06-22 14:35:57,北京,6573
是你的小红豆啊,较差,资本家的女儿不可能这么蠢，导演为什么要塑造这么一个恋爱脑的蠢女孩，是男性的意淫罢了。,2023-06-24 22:02:51,陕西,3505
,,,,,
momo,很差,放假看这个真是找罪受，别的我都懒得吐槽了，一个杀妻男最后因为老婆怀孕了忏悔？合着老婆没有未出生的孩子重要呗？这什么傻叉价值观？🤮,2023-06-22 13:28:34,江苏,4115
银敏悲,较差,陈思诚所谓的悬疑宇宙空有噱头，到现在也没见铺出个什么名堂，心思都在找新导演玩体系了吧。看似女人帮助女人，为女人发声，结尾一张照片暴露一切，杀妻不思悔改，看到肚子的孩子就崩溃了，女人的命真贱，🥕是一点没变啊！,2023-06-20 00:17:22,北京,3884
旺旺先背,很差,什么故弄玄虚的烂片！！！！！！！！！,2023-06-21 19:34:29,江苏,3496
迷路小蝴蝶,还行,全剧最大赌徒—— 李木子,2023-06-25 01:10:36,四川,5881
多吃凤梨酥,推荐,彩蛋应该是何非看到超声波还在演痛苦但其实他看到老婆给他看的照片还游走了,2023-06-22 19:39:32,湖北,3759
tomscat,很差,友情提醒，别买票看，我无法相信现在的电影是这样的,2023-06-25 14:11:00,浙江,1937
人気小圆头🔒,推荐,要是一觉醒来我老婆变成了文咏珊，我能笑一天。,2023-06-22 23:14:48,北京,3719
可爱的小土狗,很差,"电影院的地板都要被我的脚趾抠穿了…
为什么一个从小留学国外受父母宠爱的富家女看不出来杀猪盘？她父母怎么同意这桩婚姻的？不做背调？
孕妇可以潜水吗？
射程那么远的步枪能打穿血袋但是伤不到人？
十几年艺术专业的富家女会因为一个人知道梵高很感动？
纯爱场面全靠小学生作文和音乐铺垫回忆杀？
“这里的👮‍♀️系统比国内至少落后十年”“假老婆也是老婆”怎么说的出口的？
剧团哪来的钱收买这么多人？哪来的资源设这么大一个局？
假扮👮‍♀️不会被抓？
以及摩托车出场之流的装逼场面，你可以永远相信陈思诚导演的悬疑片🥹
一星打给朱一龙，他是这个片子唯一的质感。",2023-06-23 15:12:17,湖北,1649
kakakarl,推荐,#HIIFF04#海南岛闭幕，蛮好看的，充满反转，文咏珊能艳压住倪妮的美貌。国产悬疑电影居然还是得看陈思诚。,2022-12-29 17:00:37,北京,3769
马自挂,较差,老婆死了笑哈哈，胎儿死了泪汪汪。我也不明白为什么还要安排两公婆执手相看夕阳的彩蛋，大概是人只要脑子不清爽，就总能找到浪漫吧。,2023-06-23 13:50:43,上海,2921
冰镇西瓜橘子水,推荐,海南岛闭幕片 幸运的抽到观影资格 和误杀比还是差了点 但是远远好于误杀2 文咏珊本片美貌逆天 甚至压过了倪妮 杜江工具人无发挥 倪妮身上藏了最大的剧情爆点 朱一龙发挥还可以 有好几个演技摸门特 造型也很多 粉丝们有福了 悬疑这块也很到位 剧情总体流畅不冗长 看好霸屏暑期档,2023-02-19 10:04:48,广东,2902
与你无瓜,较差,上映前各种repo都是口碑炸裂，让我以为陈思诚真的搞出什么新东西了，兴冲冲去看了，不就是90%的看不见的客人➕10%的误杀吗？以及陈思诚真是太知道市场吃什么，所以选了个讨巧的主题。。。只是他这样一个出轨且不尊重女性的男人，很难不让人怀疑他只是为了钱而已。All for money.剧情3⭐，恶心人-1⭐。,2023-06-22 00:59:51,安徽,2820
刘洺溪,很差,申请开放0分 功能，建议封杀陈，卑鄙且坏又恶心。,2023-06-26 12:40:55,北京,1268
大雁,很差,陈思诚有神奇的魔力，他拍出来的东西乍看像是现代的东西，但是其内核是如此烂俗且过时。他像以一只未开化的野人视角观察婚姻中的两性关系，完全不能理解人与人之间的情感而专注于谈钱和后代。这个视角加上他拙劣的技术，创造出这么一个畸形的工业垃圾。,2023-06-26 12:23:53,北京,1007
泽佑,还行,我觉得最后那张纸是他欠款一千万的收据感觉还合情合理点,2023-06-25 22:11:11,上海,3924
宇宙能听见,推荐,对不起看完非常想剧透 朋友辣评：猜不到是因为想不到男的可以这么坏。。,2023-06-21 22:12:49,北京,2417
超音速战斗机,很差,真够烂的，男主演技比女的都烂，情节乱七八糟，还一天两亿，买水买疯了吧,2023-06-23 11:31:27,上海,1670
